Fecha,URL,Título,Constructor,Item,Unidades,Direccion_Principal,Direccion_Asociadas,lat/lon
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/santa-barbara-club-house/6809342,Casa en venta,SANTA BARBARA CLUB HOUSE,"{
  ""Estado"": ""Nuevos"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""70"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '191', 'm² priv.': '191', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.300.000.000'}, {'m² const.': '253.01', 'm² priv.': '253.01', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.550.000.000'}, {'m² const.': '253.01', 'm² priv.': '253.01', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.550.000.000'}, {'m² const.': '253.01', 'm² priv.': '253.01', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.620.000.000'}, {'m² const.': '253.01', 'm² priv.': '253.01', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.680.000.000'}, {'m² const.': '253.01', 'm² priv.': '253.01', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.680.000.000'}, {'m² const.': '253.01', 'm² priv.': '253.01', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.750.000.000'}, {'m² const.': '264.24', 'm² priv.': '264.24', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '4', 'Precio': '$ 1.750.000.000'}, {'m² const.': '276.42', 'm² priv.': '276.42', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '4', 'Precio': '$ 1.780.000.000'}, {'m² const.': '318.64', 'm² priv.': '318.64', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '4 Hab', 'Baños': '4', 'Precio': '$ 2.150.000.000'}, {'m² const.': '318.64', 'm² priv.': '318.64', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '4 Hab', 'Baños': '4', 'Precio': '$ 2.230.000.000'}, {'m² const.': '417.28', 'm² priv.': '417.28', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '4 Hab', 'Baños': '5', 'Precio': '$ 2.700.000.000'}, {'m² const.': '423.28', 'm² priv.': '423.28', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '4 Hab', 'Baños': '5', 'Precio': '$ 2.700.000.000'}]","Puerto colombia, Atlantico","Conjunto residencial villa campestre,Puerto colombia","(11.024986920336, -74.85138773918152)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/villa-gilma/7669253,VILLA GILMA,VILLA GILMA,"{
  ""Estado"": ""Nuevos"",
  ""Estrato"": ""6"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""70-80%"",
  ""Formas de pago"": ""Crédito hipotecario o leasing"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""3"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '35', 'm² priv.': '35', 'Tipo de Inmueble': 'Apartamento', 'Hab/Amb': '2 Hab', 'Baños': '1', 'Precio': '$ 170.000.000'}, {'m² const.': '194', 'm² priv.': '112', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '4', 'Precio': '$ 625.000.000'}, {'m² const.': '261', 'm² priv.': '155', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '5', 'Precio': '$ 795.000.000'}]","Pueblo viejo, Cota, Cundinamarca","Pueblo viejo,Cota","(4.812202024409833, -74.09513354301453)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/casalago/15017308,CASALAGO,JARAMILLO MORA,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""6"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""20"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '144.26', 'm² priv.': '137.55', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '2', 'Precio': '$ 700.000.000'}, {'m² const.': '167.2', 'm² priv.': '158.21', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '2', 'Precio': '$ 790.000.000'}, {'m² const.': '201.29', 'm² priv.': '192.14', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 1.024.000.000'}]","Alfaguara, Jamundí, Valle del cauca","Cr. casa azul, Las Mercedes, Alfaguara, ...","(3.26173895, -76.5385912)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/cabo-mariposa-casas/15017272,CABO MARIPOSA CASAS,CABO MARIPOSA CASAS,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""4"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""No disponible"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '106', 'm² priv.': '', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 505.100.000'}]","Calarcá, Quindio",",Calarcá","(4.507633780752154, -75.65259575843811)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/canarios-del-castillo-d/15017202,CANARIOS DEL CASTILLO D,CONSTRUCTORA EL CASTILLO,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""30% INICIAL - 70% CREDITO"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '106.47', 'm² priv.': '95.28', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 472.600.000'}]","El Castillo, Cali, Valle del cauca","El Castillo, Cascajal,Comuna 22,Cali","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/violetas-del-castillo/6724706,Casa en venta,VIOLETAS DEL CASTILLO,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""70%"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '108.24', 'm² priv.': '145.62', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '2', 'Precio': '$ 455.904.014'}]","El Castillo, Cali, Valle del cauca","El Castillo, Cascajal,Comuna 22,Cali","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/girasoles-del-castillo/5814689,Casa en venta,GIRASOLES DEL CASTILLO,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""Financiación: 70%"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '84.62', 'm² priv.': '84.62', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '2 Hab', 'Baños': '2', 'Precio': '$ 395.200.000'}]","El Castillo, Cali, Valle del cauca","El Castillo, Cascajal,Comuna 22,Cali","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/el-granadillo/15017205,EL GRANADILLO,SEGEN FP,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""4"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""No disponible"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '42.83', 'm² priv.': '66', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '2 Hab', 'Baños': '1', 'Precio': '$ 128.115.000'}, {'m² const.': '49.5', 'm² priv.': '49.5', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '2 Hab', 'Baños': '1', 'Precio': '$ 128.115.000'}, {'m² const.': '71.12', 'm² priv.': '93.12', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '2', 'Precio': '$ 192.172.500'}]","Lebrija, Santander","Santo domingo,Lebrija","(7.1141872, -73.2160584)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/parques-de-montana/15016964,PARQUES DE MONTANA,URBANIZADORA MONTANA S.A.S.,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""ENTREGAS 12 meses lotes, 18 meses casas"",
  ""Formas de pago"": ""CUOTA INICIAL 30%"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '150', 'm² priv.': '150', 'Tipo de Inmueble': 'Lote', 'Hab/Amb': 'Abierto', 'Baños': '0', 'Precio': '$ 165.000.000'}, {'m² const.': '123', 'm² priv.': '123', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 315.000.000'}]","La Morada, Jamundí, Valle del cauca","Bello horizonte, Ub. la union, Panamericano, ...","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/riviera-verde-etapa-2/10122326,Casa en venta,RIVIERA VERDE ETAPA 2,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""6"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""No disponible"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '83.81', 'm² priv.': '73.25', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 591.400.000'}, {'m² const.': '96.21', 'm² priv.': '84.6', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 698.400.000'}, {'m² const.': '99.16', 'm² priv.': '86.3', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 740.400.000'}]","Galicia, Pereira, Risaralda","Galicia, Cerritos,Pereira","(4.801981335394869, -75.80365777015686)"
